id_cliente,nombre,nivel,frecuencia_visitas_mensual,sucursal_frecuente,fecha_alta,canal_alta,fecha_salida
130,Pedro García,Oro,3.4,S3,2023-11-25,campaña,
131,Pedro Martínez,VIP,7.9,S1,2023-04-29,restaurante,
132,Pedro López,Plata,1.1,S3,2023-01-30,referencia,
133,Pedro González,Plata,1.5,S2,2023-07-30,restaurante,
134,Pedro Rodríguez,Plata,2.0,S2,2023-05-29,restaurante,
135,Pedro Pérez,Plata,1.5,S1,2023-07-03,restaurante,
136,Pedro Sánchez,Plata,1.4,S3,2023-07-03,campaña,
137,Pedro Ramírez,Oro,2.2,S1,2023-03-18,restaurante,
138,Pedro Flores,Plata,1.4,S2,2023-12-02,restaurante,
139,Pedro Torres,Plata,1.6,S3,2023-11-28,referencia,
140,Pedro Rivera,Oro,2.4,S3,2023-09-10,restaurante,2024-06-12
141,Pedro Morales,Plata,1.5,S3,2022-12-07,restaurante,
142,Pedro Vázquez,Plata,2.0,S3,2023-12-16,referencia,
143,Pedro Cruz,Oro,2.3,S2,2022-12-24,restaurante,2024-08-30
144,Pedro Ortiz,Oro,3.1,S1,2023-08-09,restaurante,2024-06-23
145,Pedro Gutiérrez,Oro,3.3,S3,2023-01-02,referencia,
146,Pedro Chávez,Plata,1.8,S3,2023-01-21,referencia,
147,Pedro Ramos,Plata,1.9,S3,2023-04-29,restaurante,
148,Pedro Mendoza,VIP,4.9,S2,2023-11-26,campaña,2024-07-12
149,Pedro Aguilar,Plata,1.9,S1,2023-01-27,restaurante,
150,Pedro Castro,Plata,1.5,S2,2023-08-03,restaurante,
151,Pedro Reyes,Plata,1.3,S2,2023-10-19,restaurante,
152,Pedro Medina,Oro,2.9,S3,2023-04-15,restaurante,
153,Pedro Silva,VIP,4.7,S2,2023-03-19,campaña,2025-03-25
154,Pedro Fuentes,Plata,1.2,S1,2023-02-07,campaña,
155,Pedro Salinas,VIP,6.1,S1,2023-11-20,restaurante,
156,Pedro Garza,Plata,1.4,S3,2023-09-13,restaurante,
157,Pedro Cantú,Plata,1.5,S3,2022-11-30,restaurante,
158,Pedro Treviño,Oro,2.1,S1,2023-03-14,referencia,
159,Pedro Cavazos,Plata,1.6,S2,2023-05-09,restaurante,
160,Pedro Zúñiga,Plata,1.5,S2,2022-12-05,campaña,2025-01-18
161,Miguel Hernández,Plata,1.5,S2,2023-03-21,restaurante,
162,Miguel García,VIP,6.6,S3,2023-12-08,restaurante,
163,Miguel Martínez,Plata,1.4,S1,2023-07-03,campaña,
164,Miguel López,VIP,6.5,S1,2023-04-21,campaña,
165,Miguel González,Oro,3.3,S1,2023-02-24,restaurante,
166,Miguel Rodríguez,Plata,1.4,S1,2023-04-08,campaña,
167,Miguel Pérez,Oro,3.6,S3,2023-08-07,referencia,
168,Miguel Sánchez,Plata,1.5,S3,2023-06-13,restaurante,
169,Miguel Ramírez,Plata,1.7,S1,2023-08-15,restaurante,
170,Miguel Flores,Oro,3.3,S2,2023-11-17,restaurante,2024-07-20
171,Miguel Torres,Oro,2.5,S1,2023-03-09,campaña,
172,Miguel Rivera,Plata,1.2,S1,2022-12-15,restaurante,2024-07-07
173,Miguel Morales,Plata,1.3,S1,2023-08-23,restaurante,
174,Miguel Vázquez,Oro,3.5,S1,2023-06-04,restaurante,
175,Miguel Cruz,Oro,2.4,S2,2023-03-07,referencia,
176,Miguel Ortiz,Oro,2.3,S3,2023-08-11,restaurante,
177,Miguel Gutiérrez,Plata,1.3,S2,2023-08-02,campaña,
178,Miguel Chávez,Plata,1.7,S3,2023-11-12,restaurante,
179,Miguel Ramos,Plata,1.8,S2,2023-06-23,referencia,2024-11-10
180,Miguel Mendoza,Oro,3.6,S1,2023-10-11,restaurante,
181,Miguel Aguilar,Oro,2.5,S1,2023-07-06,restaurante,
182,Miguel Castro,Plata,1.2,S1,2023-10-01,referencia,
183,Miguel Reyes,Plata,1.2,S1,2023-06-29,referencia,
184,Miguel Medina,Plata,1.3,S3,2023-10-20,restaurante,
185,Miguel Silva,Oro,2.9,S3,2023-03-27,restaurante,2024-09-13
186,Miguel Fuentes,Oro,2.5,S3,2023-09-02,campaña,
187,Miguel Salinas,Plata,1.9,S2,2023-08-09,referencia,
188,Miguel Garza,Plata,1.9,S2,2023-06-16,restaurante,
189,Miguel Cantú,Plata,1.6,S2,2023-07-09,restaurante,
190,Miguel Treviño,Plata,1.8,S2,2023-01-11,campaña,
191,Miguel Cavazos,Oro,2.2,S3,2023-03-23,campaña,
192,Miguel Zúñiga,Plata,1.5,S3,2023-12-26,campaña,
193,Ana Hernández,Plata,1.6,S3,2023-03-02,restaurante,
194,Ana García,VIP,4.4,S2,2023-05-26,restaurante,
195,Ana Martínez,Plata,1.8,S1,2023-12-05,referencia,
196,Ana López,Plata,1.9,S3,2023-01-27,referencia,
197,Ana González,Plata,1.3,S2,2023-11-11,campaña,
198,Ana Rodríguez,Plata,1.6,S3,2023-07-25,restaurante,
199,Ana Pérez,Plata,1.3,S2,2022-11-30,restaurante,
200,Ana Sánchez,Plata,1.2,S3,2023-05-24,campaña,
201,Ana Ramírez,Plata,1.1,S2,2023-04-25,restaurante,
202,Ana Flores,Plata,1.8,S3,2022-12-18,referencia,
203,Ana Torres,Plata,1.2,S3,2023-03-12,restaurante,
204,Ana Rivera,Oro,2.5,S1,2023-10-23,campaña,
205,Ana Morales,Plata,1.1,S2,2023-09-04,referencia,
206,Ana Vázquez,Plata,1.2,S2,2023-04-05,restaurante,
207,Ana Cruz,Plata,2.0,S3,2023-05-22,restaurante,
208,Ana Ortiz,Oro,2.9,S3,2023-09-18,campaña,
209,Ana Gutiérrez,Oro,3.5,S3,2023-02-25,restaurante,2025-03-28
210,Ana Chávez,Plata,1.8,S2,2023-01-30,restaurante,
211,Ana Ramos,Plata,1.6,S2,2023-08-09,campaña,2024-08-21
212,Ana Mendoza,Plata,1.2,S2,2023-01-07,referencia,2025-06-21
213,Ana Aguilar,Plata,1.1,S3,2023-06-08,restaurante,
214,Ana Castro,Plata,1.7,S1,2023-10-31,restaurante,
215,Ana Reyes,Plata,1.2,S2,2023-08-06,restaurante,
216,Ana Medina,Plata,1.5,S1,2023-03-11,restaurante,
217,Ana Silva,Plata,1.7,S3,2023-01-22,restaurante,
218,Ana Fuentes,Plata,1.4,S2,2023-04-15,restaurante,
219,Ana Salinas,Plata,1.2,S2,2023-07-24,campaña,
220,Ana Garza,Oro,3.5,S2,2022-12-10,restaurante,
221,Ana Cantú,Plata,1.2,S2,2023-11-23,referencia,
222,Ana Treviño,VIP,5.2,S3,2023-06-30,restaurante,2024-11-03
223,Ana Cavazos,Plata,1.9,S2,2023-05-31,restaurante,
224,Ana Zúñiga,Oro,2.5,S2,2023-11-15,campaña,2025-04-08
225,Luis Hernández,VIP,7.8,S1,2023-06-10,referencia,2024-09-06
226,Luis García,VIP,7.4,S1,2023-04-24,restaurante,2024-11-02
227,Luis Martínez,Oro,2.3,S2,2023-02-21,restaurante,2024-11-01
228,Luis López,Oro,2.4,S3,2023-04-21,restaurante,
229,Luis González,Oro,3.7,S3,2023-09-24,restaurante,
230,Luis Rodríguez,Oro,2.1,S2,2023-01-23,restaurante,2025-04-25
231,Luis Pérez,Plata,1.6,S2,2023-01-20,restaurante,
232,Luis Sánchez,Plata,1.1,S2,2023-11-14,restaurante,
233,Luis Ramírez,Plata,1.7,S1,2023-02-23,restaurante,
234,Luis Flores,Oro,3.8,S1,2023-10-19,referencia,
235,Luis Torres,Plata,1.8,S2,2023-06-05,campaña,
236,Luis Rivera,Plata,1.3,S1,2023-07-16,restaurante,
237,Luis Morales,Oro,3.0,S1,2023-04-08,restaurante,2024-07-14
238,Luis Vázquez,Plata,1.4,S1,2023-06-13,restaurante,
239,Luis Cruz,Plata,1.9,S1,2023-02-16,restaurante,
240,Luis Ortiz,Plata,1.7,S2,2023-09-25,campaña,
241,Luis Gutiérrez,Plata,1.2,S3,2023-08-20,referencia,
242,Luis Chávez,Plata,1.7,S3,2023-02-17,referencia,
243,Luis Ramos,Plata,2.0,S2,2023-07-29,referencia,
244,Luis Mendoza,Plata,1.5,S2,2023-08-14,referencia,
245,Luis Aguilar,Plata,1.1,S1,2023-05-08,referencia,
246,Luis Castro,Plata,1.3,S1,2023-07-21,restaurante,
247,Luis Reyes,Oro,2.8,S2,2023-05-02,restaurante,
248,Luis Medina,Plata,1.3,S2,2022-12-06,restaurante,
249,Luis Silva,VIP,5.3,S1,2023-09-29,restaurante,
250,Luis Fuentes,VIP,7.3,S2,2023-05-04,restaurante,
251,Luis Salinas,Plata,1.7,S1,2023-10-05,campaña,2024-11-23
252,Luis Garza,Plata,1.5,S1,2023-06-26,campaña,
253,Luis Cantú,Plata,1.9,S3,2023-12-10,restaurante,
254,Luis Treviño,Oro,3.9,S2,2023-07-27,restaurante,2025-04-23
255,Luis Cavazos,Oro,2.5,S2,2023-03-08,restaurante,2024-10-17
256,Luis Zúñiga,Oro,3.5,S3,2023-03-14,restaurante,
257,Carlos Hernández,Plata,1.5,S3,2023-01-12,referencia,
258,Carlos García,Oro,2.5,S3,2023-02-17,restaurante,
259,Carlos Martínez,Plata,2.0,S2,2023-07-08,campaña,2024-08-27
260,Carlos López,Oro,3.5,S3,2023-03-23,restaurante,
261,Carlos González,Plata,1.5,S2,2023-11-13,restaurante,
262,Carlos Rodríguez,Oro,2.4,S3,2023-07-06,restaurante,
263,Carlos Pérez,Oro,3.6,S3,2023-12-09,campaña,
264,Carlos Sánchez,Plata,1.1,S2,2023-08-15,campaña,
265,Carlos Ramírez,Oro,3.8,S3,2023-04-05,restaurante,
266,Carlos Flores,Plata,1.2,S2,2022-12-29,referencia,
267,Carlos Torres,Oro,2.2,S3,2023-11-26,restaurante,2024-07-20
268,Carlos Rivera,Plata,1.1,S1,2022-12-02,referencia,2024-06-22
269,Carlos Morales,VIP,6.3,S3,2023-02-05,restaurante,2024-12-21
270,Carlos Vázquez,Plata,1.6,S2,2023-07-22,restaurante,
271,Carlos Cruz,VIP,6.1,S3,2023-01-14,campaña,
272,Carlos Ortiz,Oro,2.9,S2,2023-03-26,restaurante,
273,Carlos Gutiérrez,Plata,1.2,S3,2023-08-16,restaurante,
274,Carlos Chávez,Oro,2.5,S1,2023-07-17,restaurante,
275,Carlos Ramos,Oro,3.7,S1,2023-04-01,restaurante,2024-07-28
276,Carlos Mendoza,VIP,7.4,S2,2023-08-22,campaña,
277,Carlos Aguilar,Plata,1.3,S3,2023-03-01,referencia,2025-05-08
278,Carlos Castro,Plata,1.7,S3,2023-04-16,referencia,
279,Carlos Reyes,Plata,1.6,S2,2023-01-03,restaurante,
280,Carlos Medina,Oro,3.1,S2,2023-09-10,restaurante,
281,Carlos Silva,Plata,1.6,S2,2023-04-28,restaurante,
282,Carlos Fuentes,Plata,1.7,S3,2023-04-30,restaurante,
283,Carlos Salinas,Plata,1.1,S2,2023-04-07,restaurante,
284,Carlos Garza,Plata,1.4,S2,2023-07-11,referencia,
285,Carlos Cantú,Plata,1.4,S3,2023-11-28,referencia,
286,Carlos Treviño,Oro,2.5,S1,2023-01-28,campaña,
287,Carlos Cavazos,Oro,3.5,S3,2023-02-04,restaurante,
288,Carlos Zúñiga,Plata,1.5,S1,2023-11-29,restaurante,
289,Jesús Hernández,Plata,1.5,S1,2023-04-29,restaurante,
290,Jesús García,VIP,6.4,S3,2022-11-28,restaurante,
291,Jesús Martínez,Plata,1.5,S3,2023-04-09,restaurante,2025-03-13
292,Jesús López,Plata,1.5,S3,2023-06-23,restaurante,
293,Jesús González,Plata,2.0,S3,2023-06-10,restaurante,
294,Jesús Rodríguez,Oro,2.4,S2,2023-11-05,referencia,2024-11-21
295,Jesús Pérez,Plata,1.4,S2,2023-08-08,restaurante,2024-07-06
296,Jesús Sánchez,Oro,2.1,S1,2023-02-28,referencia,
297,Jesús Ramírez,Oro,2.3,S1,2023-11-20,restaurante,
298,Jesús Flores,Plata,1.6,S1,2022-12-21,restaurante,
299,Jesús Torres,Oro,3.3,S1,2023-08-31,restaurante,
300,Jesús Rivera,Oro,2.5,S2,2023-07-21,restaurante,
301,Jesús Morales,Plata,1.5,S3,2023-10-31,restaurante,
302,Jesús Vázquez,Plata,2.0,S3,2023-03-05,restaurante,
303,Jesús Cruz,Plata,1.3,S2,2023-08-15,referencia,
304,Jesús Ortiz,Plata,1.6,S3,2023-09-23,restaurante,
305,Jesús Gutiérrez,Plata,2.0,S3,2023-11-19,campaña,
306,Jesús Chávez,VIP,7.4,S3,2023-06-05,restaurante,
307,Jesús Ramos,Plata,1.2,S2,2023-08-03,restaurante,
308,Jesús Mendoza,Plata,1.3,S1,2023-06-04,restaurante,
309,Jesús Aguilar,Oro,4.0,S3,2023-07-06,restaurante,
310,Jesús Castro,Plata,1.8,S1,2022-12-03,referencia,
311,Jesús Reyes,VIP,6.2,S2,2023-08-26,campaña,2024-06-13
312,Jesús Medina,Oro,3.0,S1,2023-05-16,campaña,
313,Jesús Silva,Plata,1.7,S3,2023-04-22,restaurante,
314,Jesús Fuentes,Plata,1.3,S2,2023-06-04,restaurante,
315,Jesús Salinas,VIP,7.4,S1,2022-12-03,referencia,2024-07-18
316,Jesús Garza,Oro,3.5,S1,2022-12-04,restaurante,2024-11-20
317,Jesús Cantú,VIP,5.3,S2,2023-11-18,restaurante,2025-01-01
318,Jesús Treviño,Plata,1.3,S2,2023-10-23,restaurante,
319,Jesús Cavazos,Oro,3.2,S3,2023-12-11,campaña,2024-06-02
320,Jesús Zúñiga,Oro,2.3,S1,2023-01-27,campaña,2024-06-07
321,Francisco Hernández,Plata,1.4,S3,2023-04-07,campaña,
322,Francisco García,Plata,1.8,S2,2023-04-26,campaña,2024-11-18
323,Francisco Martínez,Oro,2.4,S3,2023-05-09,restaurante,2025-05-13
324,Francisco López,Plata,1.2,S1,2023-01-05,referencia,
325,Francisco González,Plata,1.7,S1,2023-11-06,restaurante,
326,Francisco Rodríguez,Oro,3.9,S1,2023-03-18,campaña,
327,Francisco Pérez,Plata,1.3,S2,2022-12-29,restaurante,
328,Francisco Sánchez,Plata,1.2,S3,2023-06-25,referencia,
329,Francisco Ramírez,Plata,1.7,S1,2023-08-14,restaurante,2024-07-09
330,Francisco Flores,Plata,1.6,S2,2023-07-10,restaurante,2024-10-03
331,Francisco Torres,VIP,7.1,S1,2023-06-07,restaurante,
332,Francisco Rivera,Oro,2.2,S3,2023-02-11,restaurante,
333,Francisco Morales,Plata,1.6,S3,2023-03-30,restaurante,
334,Francisco Vázquez,VIP,4.9,S3,2023-05-16,campaña,2024-09-02
335,Francisco Cruz,Oro,2.4,S3,2023-07-04,restaurante,
336,Francisco Ortiz,Plata,1.9,S2,2023-07-11,referencia,
337,Francisco Gutiérrez,Oro,2.0,S3,2023-10-13,restaurante,
338,Francisco Chávez,Plata,2.0,S1,2023-06-12,campaña,
339,Francisco Ramos,VIP,7.9,S3,2023-12-28,restaurante,
340,Francisco Mendoza,Oro,3.9,S3,2023-10-17,campaña,
341,Francisco Aguilar,Oro,3.7,S3,2023-12-08,restaurante,2024-12-30
342,Francisco Castro,Plata,1.4,S2,2023-05-01,restaurante,
343,Francisco Reyes,Oro,2.3,S3,2023-04-11,referencia,
344,Francisco Medina,Plata,1.7,S2,2023-10-20,restaurante,2025-03-14
345,Francisco Silva,Plata,1.5,S1,2023-01-27,restaurante,
346,Francisco Fuentes,Plata,2.0,S3,2023-11-10,campaña,
347,Francisco Salinas,Oro,2.3,S1,2023-03-14,campaña,
348,Francisco Garza,Plata,1.5,S1,2023-05-09,restaurante,
349,Francisco Cantú,VIP,4.9,S2,2022-12-20,restaurante,
350,Francisco Treviño,Oro,2.8,S1,2023-10-14,referencia,
351,Francisco Cavazos,Plata,1.6,S3,2023-01-26,campaña,
352,Francisco Zúñiga,Plata,1.3,S2,2023-11-24,referencia,
353,Jorge Hernández,Plata,1.2,S1,2023-03-30,restaurante,
354,Jorge García,Oro,2.7,S3,2023-04-07,campaña,2025-02-15
355,Jorge Martínez,Oro,3.5,S2,2023-06-25,restaurante,2024-11-07
356,Jorge López,Plata,1.3,S1,2023-12-22,referencia,
357,Jorge González,Oro,3.7,S3,2023-01-28,restaurante,
358,Jorge Rodríguez,Plata,2.0,S2,2023-09-23,campaña,
359,Jorge Pérez,Oro,3.8,S1,2023-04-01,restaurante,2025-02-07
360,Jorge Sánchez,VIP,4.6,S3,2023-10-19,restaurante,2024-12-06
361,Jorge Ramírez,Oro,2.6,S2,2023-07-04,campaña,2025-02-22
362,Jorge Flores,Oro,2.8,S3,2023-11-07,restaurante,
363,Jorge Torres,Oro,2.6,S3,2023-07-15,referencia,
364,Jorge Rivera,Plata,1.4,S2,2023-12-20,restaurante,
365,Jorge Morales,Plata,1.1,S3,2023-07-20,campaña,
366,Jorge Vázquez,Plata,1.5,S1,2023-12-27,restaurante,
367,Jorge Cruz,Plata,1.8,S1,2023-12-30,restaurante,
368,Jorge Ortiz,Oro,3.2,S2,2023-08-03,restaurante,
369,Jorge Gutiérrez,Oro,2.7,S3,2023-06-09,restaurante,2025-01-31
370,Jorge Chávez,Oro,2.2,S2,2023-11-24,restaurante,
371,Jorge Ramos,Plata,1.0,S2,2023-02-22,campaña,
372,Jorge Mendoza,Oro,3.5,S3,2023-01-05,campaña,
373,Jorge Aguilar,Plata,1.6,S3,2023-09-10,campaña,
374,Jorge Castro,Plata,2.0,S3,2023-03-13,restaurante,
375,Jorge Reyes,Oro,3.1,S1,2023-12-16,restaurante,
376,Jorge Medina,VIP,8.0,S3,2023-08-20,restaurante,2025-04-04
377,Jorge Silva,Oro,3.7,S2,2023-07-04,campaña,2024-06-29
378,Jorge Fuentes,Plata,1.5,S2,2023-11-02,referencia,
379,Jorge Salinas,Oro,2.3,S2,2022-12-06,restaurante,
380,Jorge Garza,Plata,1.3,S1,2022-12-19,campaña,2025-03-09
381,Jorge Cantú,Oro,2.2,S1,2023-05-27,restaurante,
382,Jorge Treviño,Oro,3.0,S2,2023-07-16,restaurante,
383,Jorge Cavazos,Plata,1.3,S3,2023-01-14,restaurante,
384,Jorge Zúñiga,Plata,1.4,S3,2023-06-14,restaurante,
385,Rosa Hernández,Plata,1.9,S1,2023-01-21,campaña,
386,Rosa García,VIP,7.9,S3,2023-07-30,referencia,
387,Rosa Martínez,Plata,1.3,S1,2023-10-14,restaurante,
388,Rosa López,Oro,2.4,S3,2023-12-20,restaurante,
389,Rosa González,Oro,2.4,S2,2023-06-13,campaña,
390,Rosa Rodríguez,Plata,1.4,S2,2023-04-07,referencia,
391,Rosa Pérez,Plata,1.7,S3,2023-07-01,campaña,
392,Rosa Sánchez,VIP,7.4,S2,2023-12-10,restaurante,2024-11-27
393,Rosa Ramírez,Plata,1.9,S3,2023-05-18,campaña,
